vörå komunionbok 1848-1855 vol 1/3 A, images at
https://www.familysearch.org/ark:/61903/3:1:3Q9M-C95J-9SGC-6?i=341&cat=2575868

image pg  by        hem
228  876  bertby finnas
232  880  bertby ollus
237  885  bertby toppar
242  890  bertby zachris
246  894  bertby lillkålax
249  897  bertby pedars
252  900  bertby strand
256  904  bertby jåfs
260  908  bertby thors
265  913  bertby antus
267  915  bertby mattus
270  918  bertby trött
272  920  bertby backils
274  922  bertby gåll
278  926  bertby swenns
281  929  bertby soldater, inhyses, m. fl.
287  935  kimo kuckus
297  945  komåsa keskis
299  947  komåsa agnisbäck
301  949  komåsa brännars
304  952  komåsa soldater, inhyses m. fl.
