vörå komunionbok 1856-1862 vol 1/3 A, images at
https://www.familysearch.org/ark:/61903/3:1:3Q9M-C95J-9S1S-Y?cc=2805467&cat=2575868&i=389

image pg  by        hem
274  966  bertby finnas
279  971  bertby ollus
285  977  bertby toppar
290  982  bertby zachris
295  987  bertby lillkålax
300  992  bertby pedar
303  995  bertby strand
306  998  bertby jåfs
312 1004  bertby thors
319 1011  bertby antus
323 1015  bertby mattus
326 1018  bertby trött
329 1021  bertby backils
332 1024  bertby gåll
338 1030  bertby svenns
342 1034  bertby inhyses
344 1036  bertby soldater
346 1038  kimo kuckus
360 1052  komåsa keskis
363 1055  komåsa agnisbäck
366 1058  komåsa brännar
369 1061  komåsa brännar end
