vörå komunionbok 1841-1848 vol 1/2 A, images at
https://www.familysearch.org/ark:/61903/3:1:3Q9M-C95J-9SKF-B?i=407&cat=2575868
farms are listed newname-oldname-oldname...

image pg  by        hem
333  732  bertby backils
335  734  bertby gåll
339  738  bertby swens
341  740  bertby soldater, inhyses, m. fl.
346  745  kimo kuckus
355  754  komåsa keskis
357  756  komåsa agnisbäck
359  758  komåsa brännars
362  761  komåsa soldater, inhyses m. fl.
363  762  blank end
